22;2583
885;43273
2997;69650
6360;138275
10972;205764
16835;328467
23947;402743
32310;766564
41922;956243
52785;1539935
64897;1752241
78260;1986202
92872;2081751
108735;2045025
125847;2625529
144210;2713175
163822;3828101
184685;4600748
206797;6926505
230160;8461887
254772;11017946
