10;950;2213;734;1437
60;6951;4573213;13758;15925
110;14327;2128022;54502;34779
160;17458;11061117;83935;278711
210;22137;21134964;124160;48142
260;40668;39495446;232212;71767
310;46850;70423173;281064;79218
360;38689;106563425;269624;76150
410;40351;160251862;1909269;108731
460;49612;230274973;4940890;139073
510;105558;301730441;1266848;417745
560;65062;400725782;5131522;188708
610;84281;464743407;1103326;146681
660;70189;598562590;5942786;151479
710;54171;693193240;6366737;189453
760;84905;832382214;1196472;194135
810;58547;1208922460;2118896;291352
860;97550;1295928516;2711785;248124
910;103343;1625546986;2717981;153878
960;72233;2023341854;4728423;274541
1010;109660;2510380732;3082385;4686156
