22;2375;2682;1385;2660
885;53444;404588;340885;44194
2997;727602;3721588;1127424;2352950
6360;244006;20655391;4901158;323166
10972;494107;27171836;12718452;3253672
16835;556260;55924996;19228702;4338110
23947;550243;94469439;45572774;867025
32310;1541282;148982175;72135953;1960055
41922;1449374;218115258;97461976;997809
52785;6099850;311243073;144765249;5552947
64897;1959744;406432979;192142436;3039789
78260;5140277;530265971;251607508;1626600
92872;12641826;708168310;339476899;3533906
108735;3988994;848748351;351187075;1684912
125847;7316985;1022582114;506828406;3020904
144210;8394783;1271324120;519533605;1993496
163822;8039250;1524426244;773302659;3864887
184685;9576193;1810528396;867322374;8821605
206797;4773221;2179212385;1028378221;7814799
230160;10172640;2629572513;1262722018;10913469
254772;17032169;2973073271;1449208927;9714301
