10;2329;1125;609
60;474112;162815;10631
110;7351317;1218404;37105
160;16247474;6388959;75762
210;29670919;8786092;117629
260;45637143;23645114;236940
310;79881132;44740294;917150
360;139140539;69638320;363969
410;204651474;106013531;474240
460;284992397;146442311;658375
510;372217403;195552009;882895
560;500878357;258042943;3930083
610;685283633;399401484;1763573
660;1082917305;478512777;2329179
710;1156300015;566521394;4210536
760;1271734478;597533293;2375486
810;1570581663;743607807;4897981
860;1968841560;898384667;2353202
910;2210202944;1048843811;3559216
960;2508338671;1153615368;4638800
1010;3132083391;1510886371;8363232
